id,wt_new_W1_W13,profile_religion,euRefVoteW1,euRefVoteW2,euRefVoteW3,euRefVoteW4,euRefVoteW6,euRefVoteW7,euRefVoteW8,euRefVoteW9,euRefVoteW10,euRefVoteW11,euRefVoteW12,euRefVoteW13
26272,0.27206391292155196,Yes - Presbyterian/Church of Scotland,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
26275,0.7484758314686513,Yes - Roman Catholic,Stay/remain in the EU,Leave the EU,Don't know,Stay/remain in the EU,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26278,0.6232790278994617,Yes - Church of England/Anglican/Episcopal,Leave the EU,Leave the EU,Stay/remain in the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
26285,0.5541546671811957,Yes - Roman Catholic,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Leave the EU,Leave the EU,Leave the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26286,1.2576270117717836,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26287,1.847667796870032,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Don't know,Stay/remain in the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
26321,0.2102820413891469,Yes - Church of England/Anglican/Episcopal,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26341,0.3957585604524361,"No, I do not regard myself as belonging to any particular religion.",Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,I would/will not vote,Leave the EU,Leave the EU,Leave the EU
26350,0.6567487323497714,Yes - Presbyterian/Church of Scotland,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Stay/remain in the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
26351,1.629280514268271,"No, I do not regard myself as belonging to any particular religion.",Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
26353,0.2695695954059398,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26357,0.5116306815244708,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26374,0.32309882337416057,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26398,0.6358251854412181,"No, I do not regard myself as belonging to any particular religion.",Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
26429,0.10773940592695927,"No, I do not regard myself as belonging to any particular religion.",Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
26450,2.053812629182336,"No, I do not regard myself as belonging to any particular religion.",Don't know,Don't know,Don't know,Don't know,Don't know,Stay/remain in the EU,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26457,0.8082556735210948,Yes - Presbyterian/Church of Scotland,Stay/remain in the EU,Stay/remain in the EU,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
26462,0.31354041230645585,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26494,0.08633159213749207,Yes - Presbyterian/Church of Scotland,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26512,0.19721024456930236,Yes - Church of England/Anglican/Episcopal,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
26513,0.9776215234006328,Yes - Church of England/Anglican/Episcopal,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26516,1.1258003167338777,Yes - Roman Catholic,Stay/remain in the EU,Stay/remain in the EU,Don't know,Stay/remain in the EU,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26519,1.1855463621002738,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Leave the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
26526,0.6728127249395118,Yes - Church of England/Anglican/Episcopal,Leave the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26563,0.1186482726195984,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26564,1.5692060914195074,"No, I do not regard myself as belonging to any particular religion.",Don't know,Don't know,Don't know,Don't know,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26570,0.2616969597352839,Yes - Roman Catholic,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,I would/will not vote,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26599,0.5202805365220073,Yes - Church of England/Anglican/Episcopal,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26602,0.6067566030793031,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Don't know,Stay/remain in the EU,Stay/remain in the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
26611,0.2317310140835667,Yes - Roman Catholic,Don't know,Don't know,I would/will not vote,Leave the EU,Leave the EU,Don't know,Don't know,Don't know,Stay/remain in the EU,Don't know,Stay/remain in the EU,Stay/remain in the EU
26616,1.9099872663493795,"No, I do not regard myself as belonging to any particular religion.",Leave the EU,Stay/remain in the EU,Leave the EU,Stay/remain in the EU,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26619,2.38545297359814,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26620,0.8920142862916698,Yes - Church of England/Anglican/Episcopal,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26631,0.6914320977416232,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26633,1.183815022441574,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Leave the EU,Leave the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26644,0.1728417292140496,Yes - Church of England/Anglican/Episcopal,Stay/remain in the EU,Don't know,Don't know,Stay/remain in the EU,Stay/remain in the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Don't know
26655,0.1380339426208337,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26681,0.460151481064229,Yes - Roman Catholic,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
26686,0.6791801173636041,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26689,0.376322833232532,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26697,0.056525911055093886,Yes - Presbyterian/Church of Scotland,Leave the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
26709,0.09427998574549548,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Don't know,Stay/remain in the EU,Stay/remain in the EU
26719,0.504604358500771,Yes - Church of England/Anglican/Episcopal,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26754,8.019473443983834,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Leave the EU,Stay/remain in the EU,Leave the EU
26758,1.1633669448239234,Yes - Church of England/Anglican/Episcopal,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
26767,0.549375330108449,"No, I do not regard myself as belonging to any particular religion.",Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26776,0.2367921465873967,Yes - Church of England/Anglican/Episcopal,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Stay/remain in the EU,Leave the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26801,0.8898952842853194,"No, I do not regard myself as belonging to any particular religion.",Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
26803,0.21417766493620896,Yes - Roman Catholic,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
26806,0.8513926983102236,"No, I do not regard myself as belonging to any particular religion.",Leave the EU,Don't know,Leave the EU,Don't know,Don't know,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
26831,0.1285772254518258,Yes - Methodist,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
26859,0.6419758000240101,"No, I do not regard myself as belonging to any particular religion.",Leave the EU,Leave the EU,Don't know,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
26876,0.3613582574972107,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26878,0.22282897131914253,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26879,0.8653487987826871,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26882,0.07500853360883482,Yes - Presbyterian/Church of Scotland,Leave the EU,Leave the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26930,0.35319125848766514,"No, I do not regard myself as belonging to any particular religion.",Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
26938,0.31714090771077097,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26947,0.31395403666336746,Yes - Church of England/Anglican/Episcopal,Leave the EU,Don't know,Don't know,Don't know,Leave the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Don't know,Leave the EU,Leave the EU,Leave the EU
26956,0.3435062263365876,Yes - Church of England/Anglican/Episcopal,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Leave the EU,Stay/remain in the EU,Stay/remain in the EU,Leave the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26961,0.5729205091582975,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26980,0.08153982112304525,"No, I do not regard myself as belonging to any particular religion.",Leave the EU,Leave the EU,I would/will not vote,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
26993,0.516875561894938,Yes - Church of England/Anglican/Episcopal,Leave the EU,Leave the EU,Don't know,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
27002,0.11407082261225905,Yes - Presbyterian/Church of Scotland,Stay/remain in the EU,Don't know,Stay/remain in the EU,Don't know,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
27007,0.2135010927903597,Yes - Buddhism,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Leave the EU,Stay/remain in the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
27020,0.9131228009186232,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Leave the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
27037,0.6332658436514321,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
27056,0.3087581592932573,Yes - Church of England/Anglican/Episcopal,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
27061,0.3307086365250339,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
27078,2.9092954096637005,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,I would/will not vote,Stay/remain in the EU,Stay/remain in the EU,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
27088,0.511628052161157,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
27093,0.06459555615112669,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
27119,0.13613319744137106,"No, I do not regard myself as belonging to any particular religion.",Leave the EU,Leave the EU,Don't know,Don't know,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
27121,0.2581864919163223,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Don't know,Don't know,Don't know,Don't know,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
27132,0.6065887690957499,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
27135,0.6030140685868659,Yes - Church of England/Anglican/Episcopal,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
27159,0.3928789145462272,Yes - Church of England/Anglican/Episcopal,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
27178,0.3110617063281843,"No, I do not regard myself as belonging to any particular religion.",Don't know,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,I would/will not vote,Leave the EU,Leave the EU,Leave the EU
27244,0.9351025631138186,"No, I do not regard myself as belonging to any particular religion.",Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
27256,0.3500317551842655,Yes - Methodist,Don't know,Don't know,Don't know,Don't know,Don't know,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
27261,0.1398099419095073,Yes - Church of England/Anglican/Episcopal,Stay/remain in the EU,Stay/remain in the EU,Leave the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
27267,0.9563169524208668,Yes - Other,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
27279,0.6264246226540648,Yes - Church of England/Anglican/Episcopal,Stay/remain in the EU,Don't know,Don't know,Don't know,Don't know,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
27284,0.1653489269656188,Yes - Presbyterian/Church of Scotland,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
27312,0.6402418993366736,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
27314,0.5885559356276825,Yes - Church of England/Anglican/Episcopal,Leave the EU,Leave the EU,Don't know,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
27321,2.8909876507712,"No, I do not regard myself as belonging to any particular religion.",Don't know,Don't know,Don't know,Don't know,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
27327,2.8300509875073345,Yes - Church of England/Anglican/Episcopal,Don't know,Stay/remain in the EU,Stay/remain in the EU,Don't know,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
27331,0.7498470025235447,Yes - Methodist,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Don't know,Don't know,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
27338,0.4798057114655064,"No, I do not regard myself as belonging to any particular religion.",Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
27342,0.2945287749071168,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
27358,0.7103900107964645,Yes - Roman Catholic,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
27369,0.05385774757740271,"No, I do not regard myself as belonging to any particular religion.",Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,I would/will not vote,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
27370,0.5918945148833896,Yes - Methodist,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Leave the EU,Don't know
27372,0.6230469530698357,"No, I do not regard myself as belonging to any particular religion.",Leave the EU,Don't know,Don't know,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
27384,3.0346698447427007,Yes - Hinduism,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,I would/will not vote,Stay/remain in the EU,Don't know,Don't know,Don't know,Don't know
27390,0.27401751974414235,Yes - Roman Catholic,Leave the EU,Stay/remain in the EU,Don't know,Don't know,Don't know,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU,Stay/remain in the EU
27401,0.0626210810033058,Yes - Church of England/Anglican/Episcopal,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU,Leave the EU
